            2020-1,    2020-2,    2020-3,    2020-4,    2020-5,    2020-6,    2020-7,    2020-8,    2020-9,   2020-10,   2020-11,   2020-12,    2021-1,    2021-2,    2021-3,    2021-4,    2021-5,    2021-6,    2021-7,    2021-8,    2021-9,   2021-10,   2021-11,   2021-12,    2022-1,    2022-2,    2022-3,    2022-4,    2022-5,    2022-6,    2022-7,    2022-8,    2022-9,   2022-10,   2022-11,   2022-12
 2020-1:     50100,     14299,     16225,     24260,     21391,     11810,     17445,     13638,     12017,     13070,     12937,     11984,     16808,     14121,     11048,     11662,     22799,     13339,     18320,     18581,     14662,     18579,     19921,     15751,     13461,     13986,     17059,     13616,     14594,      9188,     16554,     14546,     22829,     22654,     15167,      4882
 2020-2:         0,     31149,     10013,      4522,      3215,      5735,      3877,      6307,     15256,      5950,      5504,      8861,      8510,      7206,     12929,      9933,      7279,      4861,     11418,      6724,     18475,      7772,      4625,     10961,     12134,      6396,     15866,      9480,     12503,      3576,      4845,      7328,      5862,     12533,      8010,      3812
 2020-3:         0,         0,     24190,         0,      4974,      8545,      4731,      8372,      2841,      5846,      6246,      1756,      1007,      1328,      2928,      9392,      5037,      9378,      4121,     10891,      1580,      4535,      5954,      3062,      1080,      8205,      8145,      5254,      6403,      9348,      5433,      3039,      4443,      1526,      2984,      3281
 2020-4:         0,         0,         0,     18900,      4921,         0,      4965,      8789,      1590,      7237,      9226,     10338,      2735,     10423,      4335,      5364,      2821,      7591,      2441,      3410,      6904,      5897,      6687,      6558,      9158,      5904,      4945,      7202,      6733,      7242,      8924,     12559,      8630,      2577,     10871,      1597
 2020-5:         0,         0,         0,         0,     19012,      6074,      4457,      5082,      5781,      6138,      2026,      4041,      4532,      1430,      7661,      4735,      4679,         0,      6809,      8307,      3100,      5346,      1211,      1935,      4406,      4933,      1215,      2992,      1357,      7850,      7231,      3151,      5231,      3202,      4017,      3014
 2020-6:         0,         0,         0,         0,         0,     13484,      7532,      2887,      6210,      2728,      3001,      4816,      7119,      1610,      5367,      7566,      1403,      5738,      2842,         0,         0,      2518,      3732,      7936,      1396,      1687,      1041,      6024,      2987,      1496,      1901,      1883,         0,      3561,      1284,      1305
 2020-7:         0,         0,         0,         0,         0,         0,      3541,      1690,         0,      3178,         0,         0,      2851,      1946,      1321,         0,         0,      1663,         0,         0,         0,      1027,         0,         0,         0,         0,         0,         0,         0,      1345,         0,         0,         0,      1536,      1957,         0
 2020-8:         0,         0,         0,         0,         0,         0,         0,      4057,         0,         0,      2621,      1420,      2316,      4388,      1724,         0,      5413,         0,         0,         0,      1987,         0,         0,         0,      3274,      1441,         0,         0,         0,         0,      3253,         0,         0,         0,      1535,      2538
 2020-9:         0,         0,         0,         0,         0,         0,         0,         0,      2350,         0,         0,      1602,         0,      1756,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1437,         0,         0,         0,         0,         0,         0,      1199,         0,         0
2020-10:         0,         0,         0,         0,         0,         0,         0,         0,         0,      3002,      1266,         0,      1302,         0,         0,         0,         0,      1743,         0,         0,      2471,         0,         0,      1799,         0,         0,         0,         0,         0,         0,         0,      3716,         0,         0,         0,      1467
2020-11:         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      2516,      1895,         0,         0,      1978,      1551,         0,      1028,      3641,         0,         0,         0,         0,      1989,         0,      1441,         0,      1345,      1519,      4977,         0,      1026,         0,         0,      2550,      1083
 2021-2:         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1913,         0,         0,         0,      1512,         0,         0,         0,         0,      1040,         0,         0,      1111,         0,         0,         0,         0,         0,      1936,         0,         0,         0,         0
